"","year_month_day_seq.ymd.","time_slot","event_name","event_location_name","event_postcode","event_street","event_locality","event_start","event_end"
"367","2016-10-22","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"368","2016-10-22","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"369","2016-10-22","11:00 am","Bath Geek Fest","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 22, 2016 @ 11:00 am",NA
"370","2016-10-22","8:00 pm","Bath Camerata 30th Anniversary Concert","The Pump Room","BA1 1LZ","Abbey Chambers, Church Street","Bath","October 22, 2016 @ 8:00 pm",NA
"371","2016-10-23","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"372","2016-10-23","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"373","2016-10-23","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"374","2016-10-23","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"375","2016-10-24","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"376","2016-10-24","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"377","2016-10-24","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"378","2016-10-24","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"379","2016-10-25","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"380","2016-10-25","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"381","2016-10-25","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"382","2016-10-25","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"383","2016-10-25","12:30 pm","Falconry Demonstration","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 25, 2016 @ 12:30 pm",NA
"384","2016-10-26","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"385","2016-10-26","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"386","2016-10-26","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"387","2016-10-26","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"388","2016-10-26","1:00 pm","Monster Treasure Trails","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 26, 2016 @ 1:00 pm",NA
"389","2016-10-26","6:30 pm","American Ghost Tours","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 26, 2016 @ 6:30 pm",NA
"390","2016-10-27","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"391","2016-10-27","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"392","2016-10-27","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"393","2016-10-27","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"394","2016-10-27","1:00 pm","Happy Halloween!","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 27, 2016 @ 1:00 pm",NA
"395","2016-10-27","6:30 pm","American Ghost Tours","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 27, 2016 @ 6:30 pm",NA
"396","2016-10-27","7:30 pm","Phillip Henry and Hannah Martin Duo","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 27, 2016 @ 7:30 pm",NA
"397","2016-10-28","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"398","2016-10-28","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"399","2016-10-28","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"400","2016-10-28","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"401","2016-10-28","10:00 am","Bath Artist Printmakers Exhibition","Bath Royal Literary & Scientific Institution","BA1 2HN","16-18 Queen Square","Bath","October 28, 2016 @ 10:00 am",NA
"402","2016-10-28","1:00 pm","The Big Apple","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 28, 2016 @ 1:00 pm",NA
"403","2016-10-28","6:00 pm","Museums at Night: Fright at the Museum","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 28, 2016 @ 6:00 pm",NA
"404","2016-10-28","6:00 pm","Tea Ceremony Demonstration","The Museum of East Asian","BA1 2QJ","12  Bennett Street","Bath","October 28, 2016 @ 6:00 pm",NA
"405","2016-10-28","7:00 pm","Halloween gig – Bare Knuckle Parade plus special guests","Bath Brew House","BA1 2BX","14 St. James Street West","Bath","October 28, 2016 @ 7:00 pm",NA
"406","2016-10-28","7:00 pm","Jazz Night: The Jamie Leeming Trio feat Emily Dankworth","Burdall’s Yard","BA1 5NH","7A Anglo Terrace","Bath","October 28, 2016 @ 7:00 pm",NA
"407","2016-10-28","7:30 pm","Mawkin","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 28, 2016 @ 7:30 pm",NA
"408","2016-10-28","8:00 pm","Krowd Keepers Magic Theatre","Ale House","BA1 1NG","1 York Street,  Bath,","Bath,","October 28, 2016 @ 8:00 pm",NA
"409","2016-10-28","8:00 pm","Simon King – Nature Watch Talk","Cheese & Grain,","BA11 1BE ","Market Yard ","Frome","October 28, 2016 @ 8:00 pm",NA
"410","2016-10-29","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"411","2016-10-29","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"412","2016-10-29","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"413","2016-10-29","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"414","2016-10-29","11:00 am","The Gingerbread Man","The Edge","BA2 7AY","University of Bath","Bath","October 29, 2016 @ 11:00 am",NA
"415","2016-10-29","2:30 pm","Jet Set Go! The Cabin Crew Musical","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 29, 2016 @ 2:30 pm",NA
"416","2016-10-29","2:30 pm","Old Theatre Royal Tour","Masonic Hall",NA,"Old Orchard street","Bath","October 29, 2016 @ 2:30 pm",NA
"417","2016-10-29","7:30 pm","The Groundhogs / The Brackish / Sofa","The Nest","BA1 5LS","7 Bladud Buildings","Bath","October 29, 2016 @ 7:30 pm",NA
"418","2016-10-30","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"419","2016-10-30","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"420","2016-10-30","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"421","2016-10-30","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"422","2016-10-30","All Day","BathVA Vintage & Antiques Kitchenalia Fair/Great Bath Feast","Green Park Station"," BA1 1JB","Green Park Road,","Bath","October 30, 2016",NA
"423","2016-10-30","1:00 pm","Day of the Dead Fiesta","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 30, 2016 @ 1:00 pm",NA
"424","2016-10-30","2:00 pm","Mariachi Tequila","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 30, 2016 @ 2:00 pm",NA
"425","2016-10-30","8:30 pm","Welcome to a Sunday Song","Star Inn","BA1 5NA ","23 Vineyards","Bath","October 30, 2016 @ 8:30 pm",NA
"426","2016-10-31","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"427","2016-10-31","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"428","2016-10-31","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"429","2016-11-01","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"430","2016-11-01","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"431","2016-11-01","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"432","2016-11-01","All Day","Acoustic Tuesdays","Circo Bar","BA1 2EN","15-18 George Street","Bath","November 1, 2016",NA
"433","2016-11-01","11:00 am","Old Theatre Royal Tour","Masonic Hall",NA,"Old Orchard street","Bath","November 1, 2016 @ 11:00 am",NA
"434","2016-11-01","8:00 pm","Folk Session at Barley Mow","Barley Mow","BA2 6NZ","32 Bathwick Street","Bath","November 1, 2016 @ 8:00 pm","January 17, 2017 @ 8:00 pm"
