"","year_month_day_seq.ymd.","time_slot","event_name","event_location_name","event_postcode","event_street","event_locality","event_start","event_end"
"67","2016-10-08","10:00 am","Workshop: Ribbon Yoyo","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 8, 2016 @ 10:00 am",NA
"68","2016-10-08","10:00 am","Dirty Bertie","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 10:00 am",NA
"69","2016-10-08","10:00 am","Chris Hadfield","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 10:00 am",NA
"70","2016-10-08","10:00 am","Bramble the Brave","Midsomer Norton",NA,"Library",NA,"October 8, 2016 @ 10:00 am",NA
"71","2016-10-08","10:00 am","David O’Doherty and Chris Judge","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 10:00 am",NA
"72","2016-10-08","10:00 am","Technique and Purpose – Bath Society of Artists’ Members Exhibition","BRSLI","BA1 2HN ","16-18 Queen Square","Bath","October 8, 2016 @ 10:00 am",NA
"73","2016-10-08","10:15 am","MUSIC! Sophia Bennett and Robert Muchamore","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 10:15 am",NA
"74","2016-10-08","10:30 am","Where’s the Starfish","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 8, 2016 @ 10:30 am",NA
"75","2016-10-08","11:00 am","Debi Gliori","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 8, 2016 @ 11:00 am",NA
"76","2016-10-08","11:15 am","Bramble the Brave","Midsomer Norton",NA,"Library",NA,"October 8, 2016 @ 11:15 am",NA
"77","2016-10-08","11:30 am","Minibeast Safari with Jess French","Monkton Prep School",NA,NA,"Bath","October 8, 2016 @ 11:30 am",NA
"78","2016-10-08","11:45 am","Abi Elphinstone and Katherine Rundell","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 11:45 am",NA
"79","2016-10-08","11:45 am","Dinosaur Cove","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 8, 2016 @ 11:45 am",NA
"80","2016-10-08","11:45 am","Julian Clary and David Roberts","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 11:45 am",NA
"81","2016-10-08","12:00 pm","NEW WORLDS! Melinda Salisbury, Alwyn Hamilton and Helen Keen","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 12:00 pm",NA
"82","2016-10-08","12:45 pm","Oi Frog!","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 8, 2016 @ 12:45 pm",NA
"83","2016-10-08","1:00 pm","Where’s the Starfish","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 8, 2016 @ 1:00 pm",NA
"84","2016-10-08","1:30 pm","Andy Stanton","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 1:30 pm",NA
"85","2016-10-08","1:30 pm","Beetle Boy","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 8, 2016 @ 1:30 pm",NA
"86","2016-10-08","1:30 pm","Nature Explorer","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 1:30 pm",NA
"87","2016-10-08","1:45 pm","TOUGH STUFF! Meg Rosoff, Kevin Brooks and Clare Furniss","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 1:45 pm",NA
"88","2016-10-08","2:00 pm","Minibeast Safari with Jess French","Monkton Prep School",NA,NA,"Bath","October 8, 2016 @ 2:00 pm",NA
"89","2016-10-08","2:30 pm","Collage Masterclass","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 8, 2016 @ 2:30 pm",NA
"90","2016-10-08","2:30 pm","Polly and the Puffin","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 8, 2016 @ 2:30 pm",NA
"91","2016-10-08","3:00 pm","Chris Riddell- Ask the Laureate!","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 3:00 pm",NA
"92","2016-10-08","3:15 pm","Bear Spotting","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 3:15 pm",NA
"93","2016-10-08","3:15 pm","Sam and Mark","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 3:15 pm",NA
"94","2016-10-08","3:30 pm","IDENTITY! Jenny Downham, Alison Rattle, Lisa Williamson & Harriet Reuter Hapgood      Pirates!","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 3:30 pm",NA
"95","2016-10-08","3:45 pm","Zog and The Flying Doctors","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 8, 2016 @ 3:45 pm",NA
"96","2016-10-08","4:45 pm","Star Wars","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 4:45 pm",NA
"97","2016-10-08","5:00 pm","Michael Morpurgo","The Guildhall","BA1 5AW","High Street","Bath","October 8, 2016 @ 5:00 pm",NA
"98","2016-10-08","5:15 pm","YA: FROM THE USA! Rachel Cohn and David Levithan","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 5:15 pm",NA
"99","2016-10-08","7:00 pm","STARS COLLIDE! Malorie Blackman and Simon Mayo","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 8, 2016 @ 7:00 pm",NA
"100","2016-10-08","7:30 pm","‘A Night of Orbison’","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 8, 2016 @ 7:30 pm",NA
"101","2016-10-09","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"102","2016-10-09","10:00 am","Nick Sharratt","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 10:00 am",NA
"103","2016-10-09","10:00 am","Charlie & Lola’s Storytime","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 10:00 am",NA
"104","2016-10-09","10:30 am","Thunderbirds are go!","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 9, 2016 @ 10:30 am",NA
"105","2016-10-09","11:30 am","Covers Woodfine Golding Katherine Woodfine and Julia Golding: Mystery Girls","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 11:30 am",NA
"106","2016-10-09","11:30 am","Writing Masterclass with Julia Green: Serious Play","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 9, 2016 @ 11:30 am",NA
"107","2016-10-09","11:45 am","Chris Packham","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 11:45 am",NA
"108","2016-10-09","12:00 pm","Pip and Posy","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 9, 2016 @ 12:00 pm",NA
"109","2016-10-09","1:15 pm","Pirates!","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 1:15 pm",NA
"110","2016-10-09","1:30 pm","Kipper","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 1:30 pm",NA
"111","2016-10-09","1:30 pm","Supertato Veggies Assemble","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 9, 2016 @ 1:30 pm",NA
"112","2016-10-09","2:00 pm","Writing Masterclass with David Almond","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 9, 2016 @ 2:00 pm",NA
"113","2016-10-09","2:45 pm","Cecelia Ahern and Sophie Kinsella","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 2:45 pm",NA
"114","2016-10-09","3:00 pm","I am Bear","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 3:00 pm",NA
"115","2016-10-09","3:00 pm","The Tiger Who Came to Tea","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 9, 2016 @ 3:00 pm",NA
"116","2016-10-09","3:15 pm","Phil Earle","The Mission Theatre","BA1 1UF","32 Corn Street","Bath","October 9, 2016 @ 3:15 pm",NA
"117","2016-10-09","4:00 pm","Sunny Sundays live music","Bath Brew House","BA1 2BX","14 St. James Street West","Bath","October 9, 2016 @ 4:00 pm",NA
"118","2016-10-09","4:30 pm","Sarah J. Maas","The Guildhall","BA1 5AW","High Street","Bath","October 9, 2016 @ 4:30 pm",NA
"119","2016-10-09","4:30 pm","Goosebumps","Victoria Hall",NA,"Radstock",NA,"October 9, 2016 @ 4:30 pm",NA
"120","2016-10-10","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"121","2016-10-11","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"122","2016-10-12","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"123","2016-10-12","9:30 am","Management Workshop","King’s Arms","SN12 6EX",NA,"Melksham","October 12, 2016 @ 9:30 am",NA
"124","2016-10-13","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"125","2016-10-13","7:00 pm","Include Me Out!: the Lives and Loves of a Hollywood Mogul","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 13, 2016 @ 7:00 pm",NA
"126","2016-10-14","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"127","2016-10-14","All Day","Mavis Sparkle","Theatre Royal – the egg","BA1 1ET","Sawclose, Bath ","Bath","October 14, 2016",NA
"128","2016-10-15","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"129","2016-10-15","7:30 pm","Steely Dan as performed by Nearly Dan","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 15, 2016 @ 7:30 pm",NA
"130","2016-10-16","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"131","2016-10-16","8:00 am","Triathlon Winter Workshop","Urban Training Systems","BA2 4HX","8 Broadway Court, Miles Street","Bath","October 16, 2016 @ 8:00 am",NA
"132","2016-10-16","4:00 pm","Riffs ‘n’ Roasts at the Bath Brewhouse","Bath Brew House","BA1 2BX","14 St. James Street West","Bath","October 16, 2016 @ 4:00 pm",NA
"133","2016-10-16","7:30 pm","Ben Reel Band","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 16, 2016 @ 7:30 pm",NA
"134","2016-10-17","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"135","2016-10-18","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"136","2016-10-18","10:00 am","City to Countryside Walk","Bath Abbey",NA,"Abbey Churchyard","Bath","October 18, 2016 @ 10:00 am",NA
"137","2016-10-19","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"138","2016-10-20","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"139","2016-10-20","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"140","2016-10-20","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"141","2016-10-20","All Day","RED – Culture, History and Craftsmanship","The Museum of East Asian","BA1 2QJ","12  Bennett Street","Bath","October 20, 2016",NA
"142","2016-10-20","6:30 pm","Autumn Gourmet Dinner","The Shrubbery Restaurant @ Bath College","BA1 1UP","James Street West","Bath","October 20, 2016 @ 6:30 pm",NA
"143","2016-10-21","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"144","2016-10-21","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"145","2016-10-21","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"146","2016-10-21","All Day","Kenneth Armitage 1916 – 2002 Centenary sculpture exhibition","Victoria Art Gallery","BA2 4AT","Bridge Street","Bath","October 21, 2016",NA
"147","2016-10-21","8:00 pm","ABBA Sing Along Live!","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 21, 2016 @ 8:00 pm",NA
"148","2016-10-22","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"149","2016-10-22","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"150","2016-10-22","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"151","2016-10-22","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"152","2016-10-22","11:00 am","Bath Geek Fest","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 22, 2016 @ 11:00 am",NA
"153","2016-10-22","8:00 pm","Bath Camerata 30th Anniversary Concert","The Pump Room","BA1 1LZ","Abbey Chambers, Church Street","Bath","October 22, 2016 @ 8:00 pm",NA
"154","2016-10-23","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"155","2016-10-23","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"156","2016-10-23","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"157","2016-10-23","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"158","2016-10-24","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"159","2016-10-24","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"160","2016-10-24","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"161","2016-10-24","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"162","2016-10-25","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"163","2016-10-25","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"164","2016-10-25","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"165","2016-10-25","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"166","2016-10-25","12:30 pm","Falconry Demonstration","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 25, 2016 @ 12:30 pm",NA
"167","2016-10-26","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"168","2016-10-26","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"169","2016-10-26","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"170","2016-10-26","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"171","2016-10-26","1:00 pm","Monster Treasure Trails","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 26, 2016 @ 1:00 pm",NA
"172","2016-10-26","6:30 pm","American Ghost Tours","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 26, 2016 @ 6:30 pm",NA
"173","2016-10-27","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"174","2016-10-27","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"175","2016-10-27","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"176","2016-10-27","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"177","2016-10-27","1:00 pm","Happy Halloween!","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 27, 2016 @ 1:00 pm",NA
"178","2016-10-27","6:30 pm","American Ghost Tours","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 27, 2016 @ 6:30 pm",NA
"179","2016-10-27","7:30 pm","Phillip Henry and Hannah Martin Duo","Chapel Arts Centre","BA1 1QR","St.James's Memorial Hall - Lower Borough Walls","Bath","October 27, 2016 @ 7:30 pm",NA
"180","2016-10-28","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"181","2016-10-28","All Day","Linda Brothwell: The Missing","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 2, 2017"
"182","2016-10-28","All Day","Monday Yearlings (12-24 months)","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 20, 2016","January 12, 2017"
"183","2016-10-28","All Day","Silver Light and Shade","The Holburne Museum","BA2 4DB","Great Pulteney Street","Bath","October 22, 2016","January 22, 2017"
"184","2016-10-28","10:00 am","Bath Artist Printmakers Exhibition","Bath Royal Literary & Scientific Institution","BA1 2HN","16-18 Queen Square","Bath","October 28, 2016 @ 10:00 am",NA
"185","2016-10-28","1:00 pm","The Big Apple","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 28, 2016 @ 1:00 pm",NA
"186","2016-10-28","6:00 pm","Museums at Night: Fright at the Museum","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","October 28, 2016 @ 6:00 pm",NA
"187","2016-10-28","6:00 pm","Tea Ceremony Demonstration","The Museum of East Asian","BA1 2QJ","12  Bennett Street","Bath","October 28, 2016 @ 6:00 pm",NA
"188","2016-10-28","7:00 pm","Halloween gig – Bare Knuckle Parade plus special guests","Bath Brew House","BA1 2BX","14 St. James Street West","Bath","October 28, 2016 @ 7:00 pm",NA
